,Visitor,Home,Date,IP_Pitch_Visitor,H_Pitch_Visitor,R_Pitch_Visitor,ER_Pitch_Visitor,BB_Pitch_Visitor,SO_Pitch_Visitor,HR_Pitch_Visitor,HBP_Pitch_Visitor,AB_Pitch_Visitor,2B_Pitch_Visitor,3B_Pitch_Visitor,IBB_Pitch_Visitor,SB_Pitch_Visitor,CS_Pitch_Visitor,PO_Pitch_Visitor,BF_Pitch_Visitor,GB/FB_Pitch_Visitor,PA_Bat_Visitor,AB_Bat_Visitor,R_Bat_Visitor,H_Bat_Visitor,2B_Bat_Visitor,3B_Bat_Visitor,HR_Bat_Visitor,RBI_Bat_Visitor,BB_Bat_Visitor,IBB_Bat_Visitor,SO_Bat_Visitor,HBP_Bat_Visitor,SH_Bat_Visitor,SF_Bat_Visitor,GDP_Bat_Visitor,SB_Bat_Visitor,CS_Bat_Visitor,Games_Visitor,IP_Pitch_Home,H_Pitch_Home,R_Pitch_Home,ER_Pitch_Home,BB_Pitch_Home,SO_Pitch_Home,HR_Pitch_Home,HBP_Pitch_Home,AB_Pitch_Home,2B_Pitch_Home,3B_Pitch_Home,IBB_Pitch_Home,SB_Pitch_Home,CS_Pitch_Home,PO_Pitch_Home,BF_Pitch_Home,GB/FB_Pitch_Home,PA_Bat_Home,AB_Bat_Home,R_Bat_Home,H_Bat_Home,2B_Bat_Home,3B_Bat_Home,HR_Bat_Home,RBI_Bat_Home,BB_Bat_Home,IBB_Bat_Home,SO_Bat_Home,HBP_Bat_Home,SH_Bat_Home,SF_Bat_Home,GDP_Bat_Home,SB_Bat_Home,CS_Bat_Home,Games_Home,Home_Win
0,BAL,OAK,2022-04-18,80.0,71.0,30.0,27.0,32.0,71.0,3.0,2.0,294.0,16.0,2.0,0.0,2.0,4.0,0.0,335.0,23.36,345,296,21,61,12,0,4,21,41,1,100,4,2,1,3,4,1,9,86.67,85.0,43.0,39.0,34.0,80.0,13.0,2.0,336.0,21.0,1.0,4.0,1.0,1.0,3.0,374.0,19.37,375,340,53,76,14,1,12,47,28,1,99,5,0,2,7,5,0,10,1
0,PIT,MIL,2022-04-18,71.0,65.0,32.0,32.0,35.0,55.0,6.0,3.0,265.0,13.0,0.0,0.0,2.0,1.0,1.0,307.0,13.3,303,271,40,74,13,3,5,36,29,1,69,0,1,2,4,4,2,8,78.0,64.0,39.0,34.0,44.0,80.0,6.0,7.0,294.0,12.0,0.0,0.0,4.0,2.0,0.0,350.0,19.32,323,287,27,58,14,2,5,25,31,1,73,4,0,1,7,5,2,9,1
0,ATL,LAN,2022-04-18,88.0,76.0,49.0,44.0,33.0,91.0,8.0,6.0,334.0,14.0,0.0,0.0,7.0,1.0,1.0,378.0,16.1,369,323,43,77,21,0,12,40,36,0,83,6,0,4,8,0,1,10,78.0,50.0,24.0,20.0,22.0,87.0,5.0,6.0,285.0,12.0,0.0,0.0,4.0,2.0,0.0,314.0,17.86,351,307,51,84,15,3,7,46,37,0,75,3,0,4,5,10,1,9,1
0,LAA,HOU,2022-04-18,79.0,65.0,43.0,41.0,30.0,73.0,12.0,2.0,303.0,10.0,0.0,3.0,7.0,2.0,0.0,336.0,15.9,344,305,48,81,15,1,15,45,34,0,89,1,2,2,2,9,6,9,69.33,62.0,31.0,27.0,30.0,61.0,6.0,6.0,259.0,12.0,1.0,0.0,2.0,3.0,0.0,301.0,13.82,298,263,28,54,10,1,9,27,29,2,54,3,0,3,8,3,2,8,1
0,TBA,CHN,2022-04-18,89.0,72.0,44.0,36.0,33.0,100.0,11.0,5.0,333.0,15.0,1.0,1.0,8.0,1.0,2.0,371.0,20.04,379,339,44,86,19,2,7,43,33,2,91,2,0,5,4,4,1,10,69.0,64.0,33.0,33.0,27.0,65.0,10.0,2.0,260.0,12.0,2.0,0.0,1.0,1.0,1.0,291.0,14.28,312,273,39,77,21,1,7,36,32,2,61,4,1,2,13,1,2,8,1
0,MIN,BOS,2022-04-18,79.0,68.0,40.0,38.0,35.0,70.0,11.0,2.0,298.0,17.0,1.0,0.0,6.0,1.0,1.0,340.0,16.259999999999998,318,280,29,52,12,0,10,28,31,0,93,5,0,1,7,3,2,9,80.0,66.0,35.0,33.0,34.0,90.0,10.0,6.0,294.0,14.0,0.0,2.0,3.0,2.0,1.0,337.0,14.64,334,299,42,69,20,0,9,42,23,2,72,3,2,7,7,0,1,9,0
0,PHI,COL,2022-04-18,87.0,77.0,51.0,49.0,35.0,86.0,9.0,12.0,325.0,15.0,6.0,1.0,3.0,1.0,0.0,377.0,22.0,372,326,42,82,24,0,10,41,34,0,85,6,1,5,9,2,0,10,82.0,87.0,38.0,33.0,29.0,63.0,5.0,3.0,318.0,21.0,1.0,2.0,0.0,1.0,3.0,353.0,18.64,350,311,46,87,19,2,10,42,26,0,74,8,1,4,7,3,1,9,1
0,SFN,NYN,2022-04-19,72.0,53.0,15.0,15.0,23.0,80.0,1.0,4.0,257.0,13.0,2.0,0.0,2.0,0.0,0.0,287.0,18.91,294,264,37,64,17,0,8,33,24,0,79,3,0,3,7,6,0,8,70.0,49.0,21.0,19.0,25.0,87.0,5.0,2.0,252.0,13.0,0.0,2.0,2.0,2.0,1.0,282.0,16.290000000000003,303,256,39,58,8,1,11,37,34,0,54,8,1,4,5,9,1,8,1
0,TEX,SEA,2022-04-19,72.0,84.0,49.0,45.0,27.0,80.0,16.0,9.0,287.0,16.0,1.0,0.0,7.0,2.0,2.0,328.0,23.450000000000003,312,278,41,67,9,0,7,39,30,2,65,2,0,2,3,6,2,8,77.0,61.0,34.0,29.0,26.0,80.0,14.0,3.0,284.0,9.0,1.0,0.0,3.0,1.0,0.0,315.0,13.45,338,299,37,66,15,1,9,37,34,0,66,4,0,1,4,5,1,9,1
0,CIN,SDN,2022-04-19,75.0,85.0,52.0,51.0,39.0,76.0,11.0,6.0,294.0,17.0,4.0,0.0,8.0,5.0,0.0,344.0,16.45,312,282,23,47,12,0,7,22,25,0,87,4,0,0,3,4,2,9,88.0,73.0,37.0,37.0,32.0,96.0,13.0,4.0,323.0,18.0,0.0,0.0,3.0,0.0,0.0,362.0,21.17,380,326,44,74,14,2,8,42,41,0,99,7,1,5,5,7,2,10,1
