,GS,IP,H,R,ER,BB,SO,HR,HBP,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Date,Team,Home_Away
0,7.0,58.5,67.0,38.0,37.0,34.0,60.0,7.0,7.0,240.0,14.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,282.0,2022-04-13,WSN,1
0,6.0,47.8,51.0,32.0,31.0,27.0,56.0,9.0,5.0,198.0,12.0,2.0,0.0,2.0,4.0,2.0,3.0,0.0,234.0,2022-04-13,CIN,1
0,6.0,49.6,40.0,14.0,10.0,21.0,52.0,4.0,4.0,192.0,7.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,222.0,2022-04-13,HOU,1
0,5.0,40.5,33.0,16.0,16.0,17.0,43.0,5.0,3.0,155.0,8.0,1.0,0.0,6.0,2.0,2.0,0.0,1.0,177.0,2022-04-13,CHN,1
0,6.0,50.5,39.0,25.0,24.0,20.0,48.0,11.0,1.0,199.0,9.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,220.0,2022-04-12,LAA,1
0,7.0,57.5,43.0,19.0,17.0,15.0,69.0,5.0,2.0,217.0,8.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,239.0,2022-04-13,NYN,1
0,6.0,50.800000000000004,47.0,24.0,18.0,29.0,41.0,4.0,1.0,199.0,8.0,1.0,2.0,6.0,5.0,3.0,3.0,0.0,235.0,2022-04-13,ARI,1
0,6.0,48.8,38.0,22.0,18.0,13.0,42.0,4.0,5.0,191.0,9.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,210.0,2022-04-13,CLE,1
0,7.0,57.2,44.0,28.0,28.0,29.0,67.0,7.0,3.0,214.0,9.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,248.0,2022-04-13,SDN,1
0,5.0,41.6,39.0,23.0,23.0,18.0,35.0,8.0,2.0,159.0,9.0,0.0,0.0,6.0,4.0,2.0,1.0,1.0,183.0,2022-04-13,PIT,1
0,7.0,58.099999999999994,57.0,37.0,36.0,20.0,65.0,5.0,3.0,239.0,9.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,266.0,2022-04-13,ATL,1
0,4.0,34.6,38.0,16.0,16.0,11.0,32.0,4.0,0.0,140.0,7.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,152.0,2022-04-12,SLN,1
0,5.0,40.1,57.0,34.0,34.0,16.0,40.0,6.0,2.0,186.0,9.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,205.0,2022-04-12,KCR,1
0,6.0,46.10000000000001,40.0,26.0,24.0,32.0,59.0,3.0,6.0,187.0,9.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,229.0,2022-04-13,MIL,1
0,6.0,49.5,49.0,31.0,30.0,24.0,41.0,10.0,3.0,200.0,10.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,229.0,2022-04-13,TOR,1
0,6.0,48.7,50.0,27.0,25.0,23.0,54.0,9.0,1.0,205.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,230.0,2022-04-13,OAK,1
0,6.0,51.8,42.0,20.0,18.0,13.0,58.0,7.0,3.0,207.0,11.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,226.0,2022-04-13,NYA,1
0,6.0,46.8,49.0,24.0,21.0,22.0,41.0,2.0,0.0,192.0,12.0,2.0,0.0,7.0,4.0,2.0,3.0,0.0,218.0,2022-04-13,BAL,1
0,6.0,49.1,39.0,26.0,24.0,16.0,55.0,6.0,7.0,194.0,7.0,1.0,0.0,6.0,1.0,2.0,1.0,0.0,219.0,2022-04-13,PHI,1
0,6.0,48.7,47.0,29.0,25.0,25.0,67.0,8.0,4.0,207.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,236.0,2022-04-13,TBA,1
0,6.0,50.8,45.0,16.0,16.0,18.0,63.0,3.0,3.0,204.0,8.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,226.0,2022-04-13,SFN,1
0,5.0,42.5,38.0,16.0,13.0,15.0,41.0,2.0,2.0,172.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,190.0,2022-04-12,COL,1
