,Name,Team,IP,H,R,K,BB,HBP,Opponent,Game_Count,Outs,Pitches,Date,GS
0,Shohei Ohtani,LAA,4.2,4,1,9,1,0,HOU,1,14,80,2022-04-07,1
1,Aaron Loup,LAA,1.0,0,0,1,0,0,HOU,1,3,16,2022-04-07,0
2,Austin Warren,LAA,1.0,2,0,0,0,0,HOU,1,3,11,2022-04-07,0
3,José Quijada,LAA,0.1,0,0,0,0,0,HOU,1,1,2,2022-04-07,0
4,Ryan Tepera,LAA,1.0,2,1,0,0,0,HOU,1,3,16,2022-04-07,0
5,Archie Bradley,LAA,1.0,0,0,0,1,0,HOU,1,3,15,2022-04-07,0
6,Framber Valdez,HOU,6.2,2,0,6,1,0,LAA,1,20,84,2022-04-07,1
7,Phil Maton,HOU,1.0,1,1,1,0,1,LAA,1,3,14,2022-04-07,0
8,Héctor Neris,HOU,0.1,0,0,0,0,0,LAA,1,1,5,2022-04-07,0
9,Ryan Pressly,HOU,1.0,1,0,0,0,0,LAA,1,3,8,2022-04-07,0
10,Max Fried,ATL,5.2,8,3,5,1,1,CIN,1,17,84,2022-04-07,1
11,Collin McHugh,ATL,0.1,2,3,1,0,0,CIN,1,1,16,2022-04-07,0
12,Spencer Strider,ATL,2.0,0,0,5,0,0,CIN,1,6,24,2022-04-07,0
13,Tyler Thornburg,ATL,1.0,0,0,2,0,0,CIN,1,3,18,2022-04-07,0
14,Tyler Mahle,CIN,5.0,3,1,7,2,0,ATL,1,15,84,2022-04-07,1
15,Luis Cessa,CIN,1.0,0,0,0,2,0,ATL,1,3,18,2022-04-07,0
16,Justin Wilson,CIN,1.0,0,0,2,0,0,ATL,1,3,15,2022-04-07,0
17,Dauri Moreta,CIN,1.0,1,2,2,1,0,ATL,1,3,26,2022-04-07,0
18,Tony Santillan,CIN,1.0,0,0,2,0,0,ATL,1,3,15,2022-04-07,0
19,JT Brubaker,PIT,3.0,4,4,2,3,0,STL,1,9,68,2022-04-07,1
20,Wil Crowe,PIT,2.0,0,0,3,2,0,STL,1,6,41,2022-04-07,0
21,Duane Underwood Jr.,PIT,0.1,1,0,0,0,0,STL,1,1,10,2022-04-07,0
22,Heath Hembree,PIT,1.0,0,1,0,2,0,STL,1,3,19,2022-04-07,0
23,Chris Stratton,PIT,1.0,0,0,0,0,0,STL,1,3,13,2022-04-07,0
24,Aaron Fletcher,PIT,1.0,3,4,0,0,1,STL,1,3,17,2022-04-07,0
25,Adam Wainwright,STL,6.0,5,0,6,0,0,PIT,1,18,81,2022-04-07,1
26,Nick Wittgren,STL,1.0,1,0,0,0,0,PIT,1,3,7,2022-04-07,0
27,Génesis Cabrera,STL,1.0,0,0,2,2,0,PIT,1,3,22,2022-04-07,0
28,Ryan Helsley,STL,1.0,0,0,1,0,0,PIT,1,3,11,2022-04-07,0
29,Patrick Corbin,WSH,4.0,5,1,4,2,1,NYM,1,12,76,2022-04-07,1
30,Víctor Arano,WSH,1.0,0,1,0,0,0,NYM,1,3,5,2022-04-07,0
31,Austin Voth,WSH,0.2,3,2,1,1,0,NYM,1,2,24,2022-04-07,0
32,Andres Machado,WSH,1.1,2,1,1,0,1,NYM,1,4,25,2022-04-07,0
33,Patrick Murphy,WSH,1.0,2,0,0,0,0,NYM,1,3,12,2022-04-07,0
34,Mason Thompson,WSH,1.0,0,0,3,1,1,NYM,1,3,27,2022-04-07,0
35,Tylor Megill,NYM,5.0,3,0,6,0,0,WSH,1,15,68,2022-04-07,1
36,Trevor May,NYM,1.0,3,1,0,0,0,WSH,1,3,16,2022-04-07,0
37,Adam Ottavino,NYM,1.0,0,0,2,0,0,WSH,1,3,18,2022-04-07,0
38,Seth Lugo,NYM,1.0,0,0,1,1,0,WSH,1,3,14,2022-04-07,0
39,Edwin O Díaz,NYM,1.0,0,0,1,1,0,WSH,1,3,18,2022-04-07,0
40,Shane Bieber,CLE,4.2,2,1,4,0,0,KC,1,14,72,2022-04-07,1
41,Bryan Shaw,CLE,0.1,0,0,1,0,0,KC,1,1,4,2022-04-07,0
42,Triston McKenzie,CLE,3.0,2,2,1,2,0,KC,1,9,47,2022-04-07,0
43,Zack Greinke,KC,5.2,5,1,1,1,0,CLE,1,17,84,2022-04-07,1
44,Jake Brentz,KC,1.0,0,0,1,2,0,CLE,1,3,27,2022-04-07,0
45,Josh Staumont,KC,0.1,0,0,0,1,0,CLE,1,1,12,2022-04-07,0
46,Scott Barlow,KC,2.0,2,0,3,0,0,CLE,1,6,29,2022-04-07,0
47,Corbin Burnes,MIL,5.0,4,3,4,3,0,CHC,1,15,83,2022-04-07,1
48,Aaron Ashby,MIL,1.2,3,0,1,1,0,CHC,1,5,41,2022-04-07,0
49,Jake Cousins,MIL,1.1,1,2,2,0,1,CHC,1,4,27,2022-04-07,0
50,Kyle Hendricks,CHC,5.1,5,1,7,3,1,MIL,1,16,83,2022-04-07,1
51,Daniel Norris,CHC,1.0,1,0,0,1,0,MIL,1,3,21,2022-04-07,0
52,Chris Martin,CHC,0.2,1,2,0,0,0,MIL,1,2,10,2022-04-07,0
53,Rowan Wick,CHC,0.2,2,1,0,0,0,MIL,1,2,19,2022-04-07,0
54,Mychal Givens,CHC,0.1,0,0,1,0,0,MIL,1,1,6,2022-04-07,0
55,David Robertson,CHC,1.0,1,0,1,0,0,MIL,1,3,14,2022-04-07,0
56,Madison Bumgarner,AZ,3.0,1,1,2,4,0,SD,1,9,68,2022-04-07,1
57,Luke Weaver,AZ,0.2,3,1,0,0,0,SD,1,2,23,2022-04-07,0
58,Sean Poppen,AZ,1.1,0,0,0,1,0,SD,1,4,20,2022-04-07,0
59,Oliver Pérez,AZ,1.1,0,0,1,0,0,SD,1,4,17,2022-04-07,0
60,Noé Ramirez,AZ,1.2,0,0,1,1,0,SD,1,5,19,2022-04-07,0
61,Joe Mantiply,AZ,1.0,0,0,1,1,0,SD,1,3,18,2022-04-07,0
62,Yu Darvish,SD,6.0,0,0,3,4,0,AZ,1,18,92,2022-04-07,1
63,Tim Hill,SD,0.2,2,0,0,0,0,AZ,1,2,10,2022-04-07,0
64,Pierce Johnson,SD,1.1,0,0,3,1,0,AZ,1,4,24,2022-04-07,0
65,Robert Suarez,SD,0.0,0,0,0,2,1,AZ,1,0,15,2022-04-07,0
66,Craig Stammen,SD,0.1,1,3,0,0,0,AZ,1,1,2,2022-04-07,0
67,Reid Detmers,LAA,4.0,3,2,3,2,0,HOU,1,12,75,2022-04-08,1
68,Oliver Ortega,LAA,2.0,2,2,1,0,0,HOU,1,6,27,2022-04-08,0
69,Mike Mayers,LAA,0.0,2,0,0,1,0,HOU,1,0,8,2022-04-08,0
70,Jimmy Herget,LAA,0.1,4,4,1,0,0,HOU,1,1,16,2022-04-08,0
71,Jaime Barría,LAA,2.2,3,4,2,0,0,HOU,1,8,36,2022-04-08,0
72,Jake Odorizzi,HOU,4.0,6,2,2,0,0,LAA,1,12,66,2022-04-08,1
73,Rafael Montero,HOU,1.0,0,0,1,0,0,LAA,1,3,14,2022-04-08,0
74,Blake Taylor,HOU,0.2,1,0,1,0,0,LAA,1,2,16,2022-04-08,0
75,Bryan Abreu,HOU,1.1,1,0,2,0,0,LAA,1,4,19,2022-04-08,0
76,Pedro Báez,HOU,0.2,3,3,0,0,0,LAA,1,2,27,2022-04-08,0
77,Ronel Blanco,HOU,1.1,2,1,1,0,0,LAA,1,4,19,2022-04-08,0
78,Frankie Montas,OAK,5.0,6,5,6,1,0,PHI,1,15,92,2022-04-08,1
79,Jacob Lemoine,OAK,1.0,1,1,0,2,0,PHI,1,3,29,2022-04-08,0
80,Domingo Acevedo,OAK,1.0,1,1,2,1,0,PHI,1,3,15,2022-04-08,0
81,Kirby Snead,OAK,1.0,3,2,0,1,0,PHI,1,3,28,2022-04-08,0
82,Aaron Nola,PHI,6.0,4,4,7,0,1,OAK,1,18,76,2022-04-08,1
83,Jeurys Familia,PHI,0.2,1,0,1,0,0,OAK,1,2,15,2022-04-08,0
84,Brad Hand,PHI,0.1,1,1,1,0,0,OAK,1,1,7,2022-04-08,0
85,Seranthony Domínguez,PHI,1.0,0,0,0,0,0,OAK,1,3,7,2022-04-08,0
86,Corey Knebel,PHI,1.0,0,0,2,0,0,OAK,1,3,10,2022-04-08,0
87,Gerrit Cole,NYY,4.0,4,3,3,1,1,BOS,1,12,68,2022-04-08,1
88,Chad Green,NYY,1.0,1,0,0,0,0,BOS,1,3,10,2022-04-08,0
89,Clay Holmes,NYY,0.2,3,1,0,0,0,BOS,1,2,14,2022-04-08,0
90,Miguel Castro,NYY,0.1,0,0,1,1,0,BOS,1,1,8,2022-04-08,0
91,Jonathan Loáisiga,NYY,1.1,0,0,1,0,0,BOS,1,4,17,2022-04-08,0
92,Wandy Peralta,NYY,0.2,0,0,1,0,0,BOS,1,2,5,2022-04-08,0
93,Aroldis Chapman,NYY,1.0,0,0,2,0,0,BOS,1,3,12,2022-04-08,0
94,Michael King,NYY,2.0,1,1,3,0,0,BOS,1,6,23,2022-04-08,0
95,Nathan Eovaldi,BOS,5.0,5,3,7,1,1,NYY,1,15,76,2022-04-08,1
96,Garrett Whitlock,BOS,2.1,2,1,4,0,0,NYY,1,7,38,2022-04-08,0
97,Matt Strahm,BOS,0.2,0,0,1,1,0,NYY,1,2,16,2022-04-08,0
98,Hansel Robles,BOS,1.0,1,0,2,0,0,NYY,1,3,9,2022-04-08,0
99,Jake Diekman,BOS,0.1,0,0,0,0,1,NYY,1,1,6,2022-04-08,0
100,Ryan Brasier,BOS,0.2,0,1,1,0,0,NYY,1,2,14,2022-04-08,0
101,Kutter Crawford,BOS,0.1,1,1,0,0,0,NYY,1,1,3,2022-04-08,0
102,Reiver Sanmartin,CIN,2.1,4,3,2,5,0,ATL,1,7,58,2022-04-08,1
103,Jeff Hoffman,CIN,2.2,2,4,0,1,0,ATL,1,8,40,2022-04-08,0
104,Daniel Duarte,CIN,1.0,1,0,2,0,0,ATL,1,3,16,2022-04-08,0
105,Alexis Díaz,CIN,1.0,0,0,2,0,0,ATL,1,3,13,2022-04-08,0
106,Buck Farmer,CIN,1.0,1,0,2,1,0,ATL,1,3,21,2022-04-08,0
107,Charlie Morton,ATL,5.1,2,1,5,1,0,CIN,1,16,78,2022-04-08,1
108,A.J. Minter,ATL,0.2,1,2,0,1,1,CIN,1,2,12,2022-04-08,0
109,Will Smith,ATL,1.0,0,0,1,0,0,CIN,1,3,13,2022-04-08,0
110,Tyler Matzek,ATL,1.0,0,0,0,0,0,CIN,1,3,7,2022-04-08,0
111,Kenley Jansen,ATL,1.0,3,3,1,1,0,CIN,1,3,30,2022-04-08,0
112,Joe Ryan,MIN,4.0,2,2,4,4,1,SEA,1,12,70,2022-04-08,1
113,Jhoan Duran,MIN,2.0,2,0,4,1,0,SEA,1,6,31,2022-04-08,0
114,Jorge Alcala,MIN,1.0,1,0,0,1,0,SEA,1,3,13,2022-04-08,0
115,Danny Coulombe,MIN,2.0,0,0,3,1,0,SEA,1,6,27,2022-04-08,0
116,Robbie Ray,SEA,7.0,3,1,5,4,1,MIN,1,21,96,2022-04-08,1
117,Paul Sewald,SEA,1.0,0,0,0,0,0,MIN,1,3,13,2022-04-08,0
118,Drew Steckenrider,SEA,1.0,1,0,1,0,0,MIN,1,3,23,2022-04-08,0
119,Jon Gray,TEX,4.0,3,3,4,2,0,TOR,1,12,70,2022-04-08,1
120,John King,TEX,0.2,1,0,0,1,0,TOR,1,2,16,2022-04-08,0
121,Josh Sborz,TEX,1.0,3,5,1,1,0,TOR,1,3,21,2022-04-08,0
122,Dennis Santana,TEX,1.1,1,1,1,1,0,TOR,1,4,22,2022-04-08,0
123,Greg Holland,TEX,1.0,1,1,2,0,0,TOR,1,3,16,2022-04-08,0
124,José Berríos,TOR,0.1,3,3,0,2,1,TEX,1,1,34,2022-04-08,1
125,Tayler Saucedo,TOR,1.2,2,2,0,0,0,TEX,1,5,15,2022-04-08,0
126,Trent Thornton,TOR,2.0,2,1,0,2,0,TEX,1,6,38,2022-04-08,0
127,Ross Stripling,TOR,1.0,0,0,0,0,0,TEX,1,3,8,2022-04-08,0
128,Julian Merryweather,TOR,1.0,0,0,0,0,0,TEX,1,3,9,2022-04-08,0
129,Adam Cimber,TOR,1.0,1,1,0,0,0,TEX,1,3,15,2022-04-08,0
130,Yimi Garcia,TOR,1.0,0,0,0,1,0,TEX,1,3,20,2022-04-08,0
131,Jordan Romano,TOR,1.0,0,0,2,0,0,TEX,1,3,18,2022-04-08,0
132,John Means,BAL,4.0,6,1,5,1,0,TB,1,12,84,2022-04-08,1
133,Bryan Baker,BAL,1.0,0,0,1,0,0,TB,1,3,11,2022-04-08,0
134,Cionel Pérez,BAL,1.0,0,0,2,0,0,TB,1,3,13,2022-04-08,0
135,Dillon Tate,BAL,1.0,1,0,1,0,0,TB,1,3,11,2022-04-08,0
136,Jorge López,BAL,0.2,1,1,0,2,0,TB,1,2,23,2022-04-08,0
137,Paul Fry,BAL,0.1,0,0,0,0,0,TB,1,1,4,2022-04-08,0
138,Shane McClanahan,TB,4.1,4,0,7,2,1,BAL,1,13,68,2022-04-08,1
139,JT Chargois,TB,0.2,0,0,1,0,0,BAL,1,2,7,2022-04-08,0
140,Matt Wisler,TB,1.0,1,1,0,0,0,BAL,1,3,16,2022-04-08,0
141,Jeffrey Springs,TB,1.0,0,0,3,0,0,BAL,1,3,16,2022-04-08,0
