,Date,Tm,Home_Away,Opp,W/L
1,"Apr 7, 2022",MIL,@,CHN,0
2,"Apr 9, 2022",MIL,@,CHN,0
3,"Apr 10, 2022",MIL,@,CHN,1
4,"Apr 11, 2022",MIL,@,BAL,0
5,"Apr 12, 2022",MIL,@,BAL,1
6,"Apr 13, 2022",MIL,@,BAL,1
7,"Apr 14, 2022",MIL,Home,SLN,1
8,"Apr 15, 2022",MIL,Home,SLN,0
9,"Apr 16, 2022",MIL,Home,SLN,0
10,"Apr 17, 2022",MIL,Home,SLN,1
11,"Apr 18, 2022",MIL,Home,PIT,1
12,"Apr 19, 2022",MIL,Home,PIT,1
13,"Apr 20, 2022",MIL,Home,PIT,1
14,"Apr 22, 2022",MIL,@,PHI,0
15,"Apr 23, 2022",MIL,@,PHI,1
16,"Apr 24, 2022",MIL,@,PHI,1
17,"Apr 25, 2022",MIL,Home,SFN,0
18,"Apr 26, 2022",MIL,@,PIT,1
19,"Apr 27, 2022",MIL,@,PIT,1
20,"Apr 28, 2022",MIL,@,PIT,1
21,"Apr 29, 2022",MIL,Home,CHN,1
22,"Apr 30, 2022",MIL,Home,CHN,1
23,"May 1, 2022",MIL,Home,CHN,0
24,"May 3, 2022",MIL,Home,CIN,1
25,"May 4, 2022",MIL,Home,CIN,1
26,"May 5, 2022",MIL,Home,CIN,1
27,"May 6, 2022",MIL,@,ATL,1
28,"May 7, 2022",MIL,@,ATL,0
29,"May 8, 2022",MIL,@,ATL,0
30,"May 9, 2022",MIL,@,CIN,0
31,"May 10, 2022",MIL,@,CIN,1
32,"May 11, 2022",MIL,@,CIN,0
33,"May 13, 2022",MIL,@,MIA,1
34,"May 14, 2022",MIL,@,MIA,0
35,"May 15, 2022",MIL,@,MIA,1
36,"May 16, 2022",MIL,Home,ATL,1
37,"May 17, 2022",MIL,Home,ATL,0
38,"May 18, 2022",MIL,Home,ATL,1
39,"May 20, 2022",MIL,Home,WSN,1
40,"May 21, 2022",MIL,Home,WSN,1
41,"May 22, 2022",MIL,Home,WSN,0
42,"May 23, 2022",MIL,@,SDN,0
43,"May 24, 2022",MIL,@,SDN,1
44,"May 25, 2022",MIL,@,SDN,1
45,"May 26, 2022",MIL,@,SLN,1
46,"May 27, 2022",MIL,@,SLN,0
47,"May 28, 2022",MIL,@,SLN,0
48,"May 29, 2022",MIL,@,SLN,1
49,"May 30, 2022",MIL,@,CHN,1
50,"May 30, 2022",MIL,@,CHN,1
51,"May 31, 2022",MIL,@,CHN,0
52,"Jun 1, 2022",MIL,@,CHN,0
53,"Jun 2, 2022",MIL,Home,SDN,1
54,"Jun 3, 2022",MIL,Home,SDN,0
55,"Jun 4, 2022",MIL,Home,SDN,0
56,"Jun 5, 2022",MIL,Home,SDN,0
57,"Jun 7, 2022",MIL,Home,PHI,0
58,"Jun 8, 2022",MIL,Home,PHI,0
59,"Jun 9, 2022",MIL,Home,PHI,0
60,"Jun 10, 2022",MIL,@,WSN,0
61,"Jun 11, 2022",MIL,@,WSN,0
62,"Jun 12, 2022",MIL,@,WSN,1
63,"Jun 14, 2022",MIL,@,NYN,0
64,"Jun 15, 2022",MIL,@,NYN,1
65,"Jun 16, 2022",MIL,@,NYN,0
66,"Jun 17, 2022",MIL,@,CIN,1
67,"Jun 18, 2022",MIL,@,CIN,1
68,"Jun 19, 2022",MIL,@,CIN,1
69,"Jun 20, 2022",MIL,Home,SLN,1
70,"Jun 21, 2022",MIL,Home,SLN,0
71,"Jun 22, 2022",MIL,Home,SLN,0
72,"Jun 23, 2022",MIL,Home,SLN,1
73,"Jun 24, 2022",MIL,Home,TOR,0
74,"Jun 25, 2022",MIL,Home,TOR,1
75,"Jun 26, 2022",MIL,Home,TOR,1
76,"Jun 28, 2022",MIL,@,TBA,1
77,"Jun 29, 2022",MIL,@,TBA,1
78,"Jun 30, 2022",MIL,@,PIT,0
79,"Jul 1, 2022",MIL,@,PIT,1
80,"Jul 2, 2022",MIL,@,PIT,0
81,"Jul 3, 2022",MIL,@,PIT,1
82,"Jul 4, 2022",MIL,Home,CHN,1
83,"Jul 5, 2022",MIL,Home,CHN,0
84,"Jul 6, 2022",MIL,Home,CHN,0
85,"Jul 8, 2022",MIL,Home,PIT,1
86,"Jul 9, 2022",MIL,Home,PIT,0
87,"Jul 10, 2022",MIL,Home,PIT,0
88,"Jul 12, 2022",MIL,@,MIN,1
89,"Jul 13, 2022",MIL,@,MIN,0
90,"Jul 14, 2022",MIL,@,SFN,1
91,"Jul 15, 2022",MIL,@,SFN,0
92,"Jul 16, 2022",MIL,@,SFN,0
93,"Jul 17, 2022",MIL,@,SFN,0
94,"Jul 22, 2022",MIL,Home,COL,1
95,"Jul 23, 2022",MIL,Home,COL,1
96,"Jul 24, 2022",MIL,Home,COL,1
97,"Jul 25, 2022",MIL,Home,COL,0
98,"Jul 26, 2022",MIL,Home,MIN,1
99,"Jul 27, 2022",MIL,Home,MIN,1
100,"Jul 29, 2022",MIL,@,BOS,1
101,"Jul 30, 2022",MIL,@,BOS,1
102,"Jul 31, 2022",MIL,@,BOS,0
103,"Aug 2, 2022",MIL,@,PIT,0
104,"Aug 3, 2022",MIL,@,PIT,0
