,Date,Team,Opp,Home_Away,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat
0,"Apr 7, 2022",MIL,CHN,1,40,33,4,10,4,0,0,4,4,0,9,1,0,2,2,1,0
0,"Apr 7, 2022",LAA,HOU,0,31,29,1,4,0,1,0,1,1,0,7,1,0,0,3,0,0
0,"Apr 7, 2022",ATL,CIN,0,36,31,3,4,0,0,1,2,5,0,13,0,0,0,0,0,0
0,"Apr 7, 2022",ARI,SDN,0,34,26,4,3,0,0,1,3,7,0,6,1,0,0,1,0,0
0,"Apr 7, 2022",NYN,WSN,1,42,35,5,12,2,0,0,5,4,0,9,3,0,0,2,0,1
0,"Apr 7, 2022",HOU,LAA,1,38,35,3,8,4,0,2,3,3,1,10,0,0,0,0,1,0
0,"Apr 7, 2022",CIN,ATL,1,38,35,6,10,0,0,1,6,1,0,13,1,0,1,1,0,0
0,"Apr 7, 2022",SLN,PIT,0,41,31,9,8,2,0,3,9,7,0,5,1,0,2,1,1,0
0,"Apr 7, 2022",SDN,ARI,1,36,29,2,4,1,0,0,2,7,0,5,0,0,0,2,1,0
0,"Apr 7, 2022",WSN,NYN,0,35,32,1,6,1,0,1,1,2,0,10,0,1,0,1,0,0
0,"Apr 7, 2022",KCR,CLE,0,31,28,3,4,2,0,0,3,2,0,6,0,1,0,0,0,1
0,"Apr 7, 2022",CLE,KCR,1,37,33,1,7,1,0,0,1,4,0,5,0,0,0,1,1,0
0,"Apr 7, 2022",PIT,SLN,1,32,30,0,6,0,0,0,0,2,0,9,0,0,0,2,0,1
0,"Apr 7, 2022",CHN,MIL,0,35,29,5,8,3,0,1,5,4,0,7,1,0,1,1,0,1
0,"Apr 8, 2022",SDN,ARI,1,38,34,3,11,2,0,1,2,3,1,10,0,1,0,1,0,1
0,"Apr 8, 2022",CHA,DET,1,37,34,4,8,3,0,1,4,3,0,3,0,0,0,1,0,0
0,"Apr 8, 2022",LAA,HOU,0,41,40,6,13,3,0,0,5,0,0,7,0,1,0,0,0,0
0,"Apr 8, 2022",MIA,SFN,1,42,39,5,9,0,0,2,5,3,0,6,0,0,0,1,0,0
0,"Apr 8, 2022",ATL,CIN,0,39,31,7,8,2,0,0,7,7,0,8,0,0,1,1,0,0
0,"Apr 8, 2022",ARI,SDN,0,30,29,0,2,0,0,0,0,1,0,8,0,0,0,0,0,0
0,"Apr 8, 2022",NYN,WSN,1,45,37,7,13,3,1,1,7,6,0,10,1,1,0,0,0,0
0,"Apr 8, 2022",HOU,LAA,1,43,40,13,14,3,0,6,13,3,0,8,0,0,0,1,1,0
0,"Apr 8, 2022",OAK,PHI,1,35,34,5,6,1,0,2,4,0,0,11,1,0,0,0,0,0
0,"Apr 8, 2022",BOS,NYA,1,43,39,5,9,2,0,1,5,3,1,11,1,0,0,3,0,0
0,"Apr 8, 2022",TBA,BAL,0,35,30,2,8,0,0,0,2,3,0,9,0,0,2,0,0,0
0,"Apr 8, 2022",MIN,SEA,0,34,29,1,4,0,0,1,1,4,0,6,1,0,0,2,0,0
0,"Apr 8, 2022",DET,CHA,0,39,33,5,8,1,1,1,5,4,0,11,2,0,0,0,0,0
0,"Apr 8, 2022",SFN,MIA,0,40,33,6,6,1,0,3,5,7,1,7,0,0,0,0,1,1
0,"Apr 8, 2022",WSN,NYN,0,33,30,3,5,0,0,1,3,1,0,9,1,0,1,1,0,0
0,"Apr 8, 2022",LAN,COL,1,41,36,5,8,2,0,0,4,4,0,11,1,0,0,0,0,0
0,"Apr 8, 2022",TOR,TEX,0,37,31,10,9,2,0,2,10,5,0,8,0,0,1,1,0,0
0,"Apr 8, 2022",COL,LAN,0,38,35,3,7,4,0,0,3,3,0,12,0,0,0,0,0,0
0,"Apr 8, 2022",TEX,TOR,1,41,35,8,8,1,0,3,7,5,0,2,1,0,0,0,0,0
0,"Apr 8, 2022",PHI,OAK,0,39,33,9,11,4,0,1,9,5,0,8,0,0,1,0,0,0
0,"Apr 8, 2022",BAL,TBA,1,37,33,1,7,2,0,1,1,3,0,14,1,0,0,1,0,0
0,"Apr 8, 2022",SEA,MIN,1,39,31,2,5,0,0,1,2,7,0,11,1,0,0,1,0,0
0,"Apr 8, 2022",NYA,BOS,0,46,39,6,9,1,0,3,6,4,2,15,2,0,1,0,0,0
0,"Apr 8, 2022",CIN,ATL,1,37,32,6,6,1,0,0,6,3,0,7,1,0,1,0,0,0
0,"Apr 9, 2022",SDN,ARI,1,39,34,5,10,2,0,0,5,4,0,4,0,0,1,1,1,1
0,"Apr 9, 2022",CHA,DET,1,37,36,5,10,2,1,1,5,0,0,5,0,1,0,0,1,0
0,"Apr 9, 2022",MIL,CHN,1,33,28,0,4,0,0,0,0,3,0,10,2,0,0,3,0,0
0,"Apr 9, 2022",WSN,NYN,0,32,31,0,4,0,0,0,0,1,0,12,0,0,0,1,0,0
0,"Apr 9, 2022",MIA,SFN,1,35,32,2,5,2,0,0,1,3,0,14,0,0,0,1,0,0
0,"Apr 9, 2022",ATL,CIN,0,36,29,2,8,4,0,0,2,4,0,7,2,0,1,0,0,0
0,"Apr 9, 2022",ARI,SDN,0,33,31,2,5,2,0,1,2,2,0,10,0,0,0,1,0,0
0,"Apr 9, 2022",NYN,WSN,1,41,35,5,9,2,0,1,4,5,0,8,1,0,0,0,2,0
0,"Apr 9, 2022",HOU,LAA,1,32,29,0,2,0,0,0,0,2,0,5,1,0,0,1,1,0
0,"Apr 9, 2022",OAK,PHI,1,31,30,2,5,1,0,0,2,1,0,12,0,0,0,2,0,0
0,"Apr 9, 2022",CIN,ATL,1,32,29,1,3,0,0,0,1,2,0,9,0,0,0,1,1,0
0,"Apr 9, 2022",SLN,PIT,0,38,33,6,10,3,0,1,6,4,0,7,1,0,0,1,1,0
0,"Apr 9, 2022",TBA,BAL,0,33,29,5,8,1,1,1,5,3,0,5,0,0,1,3,0,0
0,"Apr 9, 2022",MIN,SEA,0,34,31,3,4,0,0,2,3,2,0,14,1,0,0,0,0,0
0,"Apr 9, 2022",BOS,NYA,1,37,33,2,5,2,0,1,2,4,0,12,0,0,0,0,0,0
0,"Apr 9, 2022",DET,CHA,0,36,31,2,7,1,0,0,2,5,0,12,0,0,0,3,0,0
0,"Apr 9, 2022",LAN,COL,1,34,34,2,7,0,0,1,2,0,0,9,0,0,0,0,0,0
0,"Apr 9, 2022",SFN,MIA,0,33,31,1,5,2,0,0,1,2,0,14,0,0,0,1,0,0
0,"Apr 9, 2022",KCR,CLE,0,34,32,1,6,0,0,0,1,2,0,3,0,0,0,1,1,0
0,"Apr 9, 2022",TOR,TEX,0,37,32,4,9,1,0,1,4,2,0,6,2,1,0,0,0,0
0,"Apr 9, 2022",COL,LAN,0,34,32,3,8,1,0,1,3,1,0,10,1,0,0,0,0,0
0,"Apr 9, 2022",PHI,OAK,0,34,29,4,7,2,0,3,4,4,0,7,1,0,0,1,0,0
0,"Apr 9, 2022",CLE,KCR,1,35,33,0,5,1,0,0,0,1,0,10,1,0,0,2,0,0
0,"Apr 9, 2022",TEX,TOR,1,36,35,3,9,1,0,0,3,1,0,6,0,0,0,1,0,0
0,"Apr 9, 2022",PIT,SLN,1,40,35,2,9,3,0,0,2,4,0,7,0,0,1,0,0,0
0,"Apr 9, 2022",BAL,TBA,1,36,34,3,8,2,0,1,3,1,0,10,1,0,0,1,1,0
0,"Apr 9, 2022",CHN,MIL,0,44,33,9,10,1,0,0,8,7,0,8,3,0,1,0,0,0
0,"Apr 9, 2022",SEA,MIN,1,39,35,4,9,3,0,1,4,4,0,7,0,0,0,1,1,0
0,"Apr 9, 2022",NYA,BOS,0,30,27,4,4,0,0,2,4,3,0,5,0,0,0,0,0,0
0,"Apr 9, 2022",LAA,HOU,0,33,27,2,6,1,0,2,2,5,0,11,0,1,0,0,0,2
0,"Apr 10, 2022",SDN,ARI,1,43,34,10,8,1,1,2,8,6,0,12,1,0,2,0,0,0
0,"Apr 10, 2022",CHA,DET,1,43,39,10,13,5,0,1,10,3,0,6,0,0,1,0,1,0
0,"Apr 10, 2022",MIL,CHN,1,36,31,5,5,1,0,3,5,5,0,8,0,0,0,0,0,0
0,"Apr 10, 2022",LAA,HOU,0,34,33,1,7,2,0,1,1,1,0,7,0,0,0,0,0,0
0,"Apr 10, 2022",MIA,SFN,1,37,34,2,11,1,0,0,2,1,0,9,1,0,1,1,0,0
